COUNTRY,INDICATOR,FREQUENCY,SCALE,year,value
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2008,64.712
Russian Federation,Unemployment rate,Annual,Units,2008,6.233
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2008,4.737
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2008,32.01
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2008,5.842
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2008,5.247
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2008,-8.063
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2008,1.55
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2008,-1.858
Sri Lanka,Unemployment rate,Annual,Units,2008,6.0
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2008,5.95
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2008,26.009
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2008,24.045
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2008,37.748
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2008,1.963
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2008,33.695
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2008,37.144
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2008,-4.589
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,9.937
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2008,0.253
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2008,11.54
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2008,-2.099
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2008,5.094
France,Unemployment rate,Annual,Units,2008,7.433
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2008,0.265
France,"Gross debt, General government, Percent of GDP",Annual,Units,2008,69.819
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2008,-0.866
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2008,-0.697
France,"Expenditure, General government, Percent of GDP",Annual,Units,2008,54.281
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,2.754
Germany,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2008,5.6
Germany,Unemployment rate,Annual,Units,2008,7.425
Germany,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2008,0.91
India,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2008,-2.328
India,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2008,3.087
India,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,9.212
Italy,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2008,-1.023
Italy,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,3.492
Italy,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2008,-2.723
Italy,Unemployment rate,Annual,Units,2008,6.792
Japan,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2008,-3.264
Japan,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2008,2.792
Japan,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,1.382
Japan,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2008,-1.224
Japan,"Expenditure, General government, Percent of GDP",Annual,Units,2008,34.107
Japan,"Gross debt, General government, Percent of GDP",Annual,Units,2008,180.851
Japan,Unemployment rate,Annual,Units,2008,3.983
South Africa,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,10.865
South Africa,Unemployment rate,Annual,Units,2008,22.525
South Africa,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2008,-5.018
South Africa,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2008,3.191
"Türkiye, Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,10.444
"Türkiye, Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2008,0.815
"Türkiye, Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2008,-5.036
"Türkiye, Republic of",Unemployment rate,Annual,Units,2008,9.8
United Kingdom,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2008,-3.862
United Kingdom,"Expenditure, General government, Percent of GDP",Annual,Units,2008,40.958
United Kingdom,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2008,-3.536
United Kingdom,Unemployment rate,Annual,Units,2008,5.725
United Kingdom,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2008,-0.249
United Kingdom,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,3.602
United States,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2008,0.114
United States,Unemployment rate,Annual,Units,2008,5.8
United States,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,3.815
United States,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2008,-4.716
France,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,3.161
"China, People's Republic of","Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2008,9.638
United Kingdom,"Gross debt, General government, Percent of GDP",Annual,Units,2008,50.827
India,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2008,-4.411
India,"Gross debt, General government, Percent of GDP",Annual,Units,2008,74.368
Myanmar,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2008,-1.593
Brazil,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2008,5.678
Myanmar,"Expenditure, General government, Percent of GDP",Annual,Units,2009,14.446
Sri Lanka,"Gross debt, General government, Percent of GDP",Annual,Units,2009,72.75
Russian Federation,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2009,11.647
Russian Federation,"Gross debt, General government, Percent of GDP",Annual,Units,2009,9.918
Sri Lanka,"Expenditure, General government, Percent of GDP",Annual,Units,2009,21.012
Bangladesh,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2009,5.045
Bangladesh,"Gross debt, General government, Percent of GDP",Annual,Units,2009,33.01
Bangladesh,Unemployment rate,Annual,Units,2009,
Bangladesh,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2009,-0.861
Sri Lanka,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2009,3.503
Brazil,Unemployment rate,Annual,Units,2009,9.42
Brazil,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2009,0.912
Brazil,"Gross debt, General government, Percent of GDP",Annual,Units,2009,64.702
Brazil,"Expenditure, General government, Percent of GDP",Annual,Units,2009,40.537
"China, People's Republic of","All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2009,-0.692
"China, People's Republic of","Current account balance (credit less debit), Percent of GDP",Annual,Units,2009,4.7
Myanmar,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2009,4.385
"China, People's Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2009,33.985
"China, People's Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2009,-1.3
"China, People's Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2009,25.222
"China, People's Republic of",Unemployment rate,Annual,Units,2009,
United States,"Gross debt, General government, Percent of GDP",Annual,Units,2009,86.787
Germany,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2009,-0.831
Germany,"Expenditure, General government, Percent of GDP",Annual,Units,2009,48.292
Germany,"Gross debt, General government, Percent of GDP",Annual,Units,2009,72.336
India,"Expenditure, General government, Percent of GDP",Annual,Units,2009,28.543
India,Unemployment rate,Annual,Units,2009,
Italy,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2009,-0.873
Italy,"Gross debt, General government, Percent of GDP",Annual,Units,2009,116.121
Italy,"Expenditure, General government, Percent of GDP",Annual,Units,2009,51.053
Myanmar,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2009,-3.08
Myanmar,Unemployment rate,Annual,Units,2009,
Myanmar,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2009,3.692
Myanmar,"Gross debt, General government, Percent of GDP",Annual,Units,2009,61.042
Russian Federation,Unemployment rate,Annual,Units,2009,8.242
Russian Federation,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2009,-6.197
Russian Federation,"Expenditure, General government, Percent of GDP",Annual,Units,2009,38.596
Russian Federation,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2009,3.852
Russian Federation,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2009,-7.821
Sri Lanka,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2009,-0.432
South Africa,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2009,-2.621
Sri Lanka,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2009,-2.914
Sri Lanka,Unemployment rate,Annual,Units,2009,5.9
Sri Lanka,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2009,3.539
South Africa,"Expenditure, General government, Percent of GDP",Annual,Units,2009,28.457
South Africa,"Gross debt, General government, Percent of GDP",Annual,Units,2009,26.995
"Türkiye, Republic of","Gross debt, General government, Percent of GDP",Annual,Units,2009,43.212
"Türkiye, Republic of","Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2009,-0.876
"Türkiye, Republic of","Expenditure, General government, Percent of GDP",Annual,Units,2009,37.228
United States,"Expenditure, General government, Percent of GDP",Annual,Units,2009,41.399
United States,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2009,-11.288
Bangladesh,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2009,6.655
Bangladesh,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2009,1.699
Bangladesh,"Expenditure, General government, Percent of GDP",Annual,Units,2009,10.576
Brazil,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2009,-1.757
Brazil,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2009,-0.126
France,Unemployment rate,Annual,Units,2009,9.125
France,"Gross domestic product (GDP), Constant prices, Percent change",Annual,Units,2009,-2.732
France,"Gross debt, General government, Percent of GDP",Annual,Units,2009,84.057
France,"Primary net lending (+) / net borrowing (-), General government, Percent of GDP",Annual,Units,2009,-5.142
France,"Current account balance (credit less debit), Percent of GDP",Annual,Units,2009,-0.55
France,"Expenditure, General government, Percent of GDP",Annual,Units,2009,57.995
Germany,"All Items, Consumer price index (CPI), Period average, percent change",Annual,Units,2009,0.246
